Category,Title,Original Link,Description,Publication Date
주식,"""내 딸 삼전 주식도 금투세 폭탄"" vs ""소득 있는 곳에 세금 있다""",https://www.hankookilbo.com/News/Read/A2024081411480002709?did=NA,"내년 1월 예정대로 금융투자소득세(금투세)가 도입되면 미성년 자녀에게 주식을 증여해 장기 투자 수익을... 삼성전자 주식을 매수한 뒤 20년 후 매도할 경우 2,200만 원의 양도세(금투세)가 부과될 수 있다. 20년 후... ","Fri, 16 Aug 2024 04:30:00 +0900"
주식,"워린버핏 ‘버크셔’, 애플 주식 68조원어치 팔았다…대신 담은 종목은?",https://news.heraldcorp.com/view.php?ud=20240815050068,"헤이코 주식을 각각 69만여주, 104만여주 매수했다고 밝혔다. 이는 이날 종가 기준 2억2700만 달러(약... 버크셔는 2분기에 772억 달러(약 105조원) 규모 주식을 매도한 반면 16억 달러(약 2조1000억원) 어치만 매수했다.... ","Thu, 15 Aug 2024 12:24:00 +0900"
주식,미국 주식 거래 당분간 중단…'주문취소 사태' 여파,https://news.tvchosun.com/site/data/html_dir/2024/08/14/2024081490144.html,미국 주식을 낮에도 거래할 수 있는 국내 증권사들의 데이마켓(주간거래) 서비스가 당분간 전면 중단된다. 14일 금융투자업계에 따르면 국내에서 미국 주식 주간거래 서비스를 제공하고 있는 증권사 19개사는 당분간... ,"Wed, 14 Aug 2024 16:01:00 +0900"
주식,"메타, AI 투자 헛되지 않았다 [돈 되는 해외 주식]",https://magazine.hankyung.com/business/article/202408078407b,메타의 분기 실적은 시장 예상을 상회했으며 인공지능(AI)을 활용한 광고수익 증가로 이익 성장이 이어질 것으로 예상한다. 메타의 디지털 광고 매출은 20%대 성장을 보이고 있으며 비용 절감에 의한 펀더멘털... ,"Sat, 17 Aug 2024 10:52:00 +0900"
주식,"[단독] 19개 증권사, 16일부터 미국주식 주간 거래 일시 중단",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202408140149&t=NN,"국내 증권사가 미국주식 주간 거래 서비스를 일시 중단하기로 했다. 14일 금융투자 업계에 따르면, 국내 19개 증권사는 오는 16일부터 미국주식 주간 거래 서비스를 일시 중단하기로 했다. 주간 거래는 미국 대체거래소... ","Wed, 14 Aug 2024 14:06:00 +0900"
주식,"美 주식 주간거래 당분간 중단… 금투협, 블루오션에 대책 요구",https://www.kmib.co.kr/article/view.asp?arcid=1723625225&code=11151100&cp=nv,국내 증권사를 통해 미국 주식을 한국시간으로 낮에 거래할 수 있는 데이마켓(주간거래) 서비스가 오는... 블루오션은 지난 5일 글로벌 주식시장의 급격한 변동으로 투자자 주문이 몰리자 한국시간 기준 오후 2시45분 이후... ,"Thu, 15 Aug 2024 02:51:00 +0900"
주식,애플 주식 절반 판 버핏 …'미국판 올리브영' 샀다,https://www.mk.co.kr/article/11093665,"14일(현지시간) 블룸버그·로이터통신 등에 따르면 버크셔는 이날 주식시장 마감 후 공시(13F 보고서)를... 버크셔는 2분기에 772억달러(약 105조원) 규모 주식을 매도했는데, 매수는 16억달러(약 2조1000억원)에... ","Thu, 15 Aug 2024 18:01:00 +0900"
주식,"30대그룹 공익법인, 계열사 보유주식 늘리고 기부액 줄였다",https://www.newsis.com/view/NISX20240812_0002847314,30대 그룹 소속 공익재단들이 계열사 보유지분을 늘리며 자산총액에서 계열사 주식 비중을 키우는 반면... 38개 공익법인이 보유한 주식 기업 수는 2017년 76개에서 234개로 6년 만에 3배 이상 증가했다. 공익법인... ,"Tue, 13 Aug 2024 06:00:00 +0900"
주식,한국인 주식은 쌀?' 난 한 끼밖에 안먹는데',https://www.kidshankook.kr/news/articleView.html?idxno=11250,"오랫동안 한국인의 주식이었던 쌀 소비는 그러나 갈수록 줄어들고 있다. 그 대안으로 식품업계가 가루쌀(분질미)로 만든 우유와 과자, 라면 등을 내놓으며 입맛잡기에 나섰다. 쌀의 날을 기념해 흥미로운 쌀 얘기를... ","Fri, 16 Aug 2024 11:22:00 +0900"
주식,지난달 외국인 국내주식 2.5조 순매수…9개월째 '사자',https://www.newsis.com/view/NISX20240812_0002847112,지난달 외국인이 국내 상장주식 약 2조5000억원을 순매수하며 9개월 연속 매수세를 이어갔다. 13일 금융감독원에 따르면 지난달 말 외국인이 보유한 국내 상장 주식은 총 852조7000억원으로 전월 대비... ,"Tue, 13 Aug 2024 06:00:00 +0900"
